,cause,effect,word
2073,all options are open '' over construction of the dam,of concerns about the impact on downstream water levels,because
2074,political interests at stake,"'re talking about the united states ' backyard , '' said unk",because
2075,july 09 : business daily - somen,unk board,leaves
2076,i,that point that we have only one project in akwa ibom,made
2077,it,no ruling on whether or not it is safe to send them to khartoum,make
2078,the helicopter,down by hostile fire,brought
2079,it,down with a rocket,brought
2080,the third soldier could not be formally charged,he was traveling overseas,because
2081,death,for mother,means
2082,the structural fitness of housing units worth more unk million in kenya,into question by the national construction authority,put
2083,we,from gas today than,making
2084,we,from petroleum,make
2085,up,for the environmental degradation,make
2086,by the lightning strike,the four were burnt to death by the blaze,caused
2087,we,demand that the girls,make
2088,by the boko haram militants,dialogue,made
2089,the violence,pressures incurred by the slow process of reform,result
2090,a draft accord,to eyadema,sent
2091,grounds,"of fear of attack by american drones , he and his fighters didn t appear overly concerned about the missiles",because
2092,removing,all laws that discriminate against women,means
2093,high-ranking officials sufficient kill,themselves,made
2094,he believed an organisation was behind the killings,they happened during curfew,because
2095,the u.s. government chooses to believe that legitimacy descends upon karzai,he agreed to another election controlled by his operatives,because
2096,the haitian government told colas he ca n't adopt them,his name is on their birth certificates,because
2097,the persistence of ethnicity in our politics,the failure to dismantle and reform the colonial state,because
2098,the ethnic violence,of failure to reform the ethnically organised state,result
2099,ended up dropping a bomb on this area,it clearly happen,because
2100,what,the crash,caused
2101,bail,of social and historical ties,because
2102,u.s. air force,his third flight but his first in command,making
2103,which,supplying electricity only to customers that are paying,means
2104,the ch-53e super stallion,bagram on a resupply mission,left
2105,re-election into the senate,of obasanjo 's attitude,because
2106,the face-offs gemade,division of party unk,result
2107,over thanksgiving holiday,a surprise visit to u.s. troops in afghanistan that culminated to him eating meals with the soldiers,made
2108,'the taliban wants,a deal we ll see if they make a deal,make
2109,unk people,the town center for the villages,left
2110,sure,that they are keeping to the contractual agreement,make
2111,nobody,follows them annually or quarterly,because
2112,it should n't continue to succumb to the propaganda of mischief makers,the issue has been unk,because
2113,palm oil,the governor of the bank,because
